reference;name;family;price;category;description;disponibility;image;quantity;selled;sous_category;reste
2146223;VIN MOUSSEUX FRUIT PEACH JP CHENET 75CL;21;5 500,00;Boissons;;Oui;VIN MOUSSEUX FRUIT PEACH JP CHENET 75CL.avif;100;0;Vins;100
214650;VIN ROUGE DE TABLE CHATEAU DE FRANCE 250ML;21; 480,00;Boissons;;Oui;VIN ROUGE DE TABLE CHATEAU DE FRANCE 250ML.avif;100;0;Vins;100
2147009;VIN ROUGE POMEROL CALVET 2018 75CL;21;14 625,00;Boissons;;Oui;VIN ROUGE POMEROL CALVET 2018 75CL.avif;100;0;Vins;100
2147012;VIN ROUGE CHATEAU DE SAINTE CROIX DES CORBIERES 750ML;21;7 000,00;Boissons;;Oui;VIN ROUGE CHATEAU DE SAINTE CROIX DES CORBIERES 750ML.avif;100;0;Vins;100
214710;VIN BLANC SEC CH ROUSSEAU BORDEAUX 2020 75CL;21;4 500,00;Boissons;;Oui;VIN BLANC SEC CH ROUSSEAU BORDEAUX 2020 75CL.avif;100;0;Vins;100
214718;VIN BLANC ELEVEE EN FUT DE CHENE LOUIS BORDEAU 2016;21;5 200,00;Boissons;;Oui;VIN BLANC ELEVEE EN FUT DE CHENE LOUIS BORDEAU 2016.avif;100;0;Vins;100
214719;CREMENT D'ALSACE CUVEE PRESTIGE ARTHUR METZ 1.5L;21;38 000,00;Boissons;;Oui;CREMENT D'ALSACE CUVEE PRESTIGE ARTHUR METZ 1.5L.avif;100;0;Vins;100
21472;VIN BLANC DOMAINE DE LA ROUVIERE COTES DE PROVENCE 2020 75CL;21;7 500,00;Boissons;;Oui;VIN BLANC DOMAINE DE LA ROUVIERE COTES DE PROVENCE 2020 75CL.avif;100;0;Vins;100
214720;VIN SAUVIGNON BLANC BORDEAU LOUIS ESCHENAEUR 2016;21;4 700,00;Boissons;;Oui;VIN SAUVIGNON BLANC BORDEAU LOUIS ESCHENAEUR 2016.avif;100;0;Vins;100
2147201;VIN ROSE DOMAINE DE LA ROUVIERE COTES DE PROVENCE 2020 75CL;21;7 900,00;Boissons;;Oui;VIN ROSE DOMAINE DE LA ROUVIERE COTES DE PROVENCE 2020 75CL.avif;100;0;Vins;100
214722;CREMENT DE BORDEAUX BRUT CALVET 2015;21;8 200,00;Boissons;;Oui;CREMENT DE BORDEAUX BRUT CALVET 2015.avif;100;0;Vins;100
214750;VIN DEMI SEC PINOT NOIR BRUT D'ARGENT 750ML;21;7 000,00;Boissons;;Oui;VIN DEMI SEC PINOT NOIR BRUT D'ARGENT 750ML.avif;100;0;Vins;100
2147509;VIN BLANC BORDEAU MOELLEUX HAUSSMANN 2021 750 ML;21;6 950,00;Boissons;;Oui;VIN BLANC BORDEAU MOELLEUX HAUSSMANN 2021 750 ML.avif;100;0;Vins;100
